savePath,saveDescription,evalLoss,evalLoss2,evalCCC,evalCCC2,testLoss,testLoss2,testCCC,testCCC2
models/SoM_GRU_1,audio_features_mfcc_functionals,0.9091475009918212,1.0,0.0908524990081787,0.0,0.7581855058670044,1.0,0.2418144941329956,0.0
models/SoM_GRU_1,visual_features_functionals,1.0004940032958984,1.0,-0.0004940032958984,0.0,0.997523307800293,1.0,0.002476692199707,0.0
models/SoM_GRU_2,visual_features_functionals,0.9989683628082277,1.0,0.0010316371917724,0.0,0.975008189678192,1.0,0.0249918103218078,0.0
models/SoM_GRU_4,audio_features_mfcc_functionals,0.9389914274215698,0.9811758399009703,0.0610085725784301,0.0188241600990295,,,,
models/SoM_Mix_1,mix: 1-2,0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.0,0.0,1.0,1.0
models/SoM_Mix_2,mix: 1-2,0.9518814086914062,0.9520412087440492,0.0481185913085937,0.0479587912559509,0.0,0.0,1.0,1.0
models/SoM_Mix_2,mix: 1-2,0.951881468296051,0.9520412087440492,0.0481185317039489,0.0479587912559509,0.0,0.0,1.0,1.0
models/SoM_Mix_2,mix: 1-2,0.9518814086914062,0.9520412087440492,0.0481185913085937,0.0479587912559509,0.0,0.0,1.0,1.0
models/SoM_GRU_4,audio_features_mfcc_functionals,0.9302348494529724,0.948824405670166,0.0697651505470275,0.0511755943298339,0.652796745300293,0.600055456161499,0.347203254699707,0.399944543838501
models/SoM_GRU_5,visual_features_functionals,0.9992135763168336,0.96026349067688,0.0007864236831665,0.0397365093231201,0.9994848966598512,0.8855287432670593,0.0005151033401489,0.1144712567329406
models/SoM_GRU_6,audio_features_egemaps_functionals,0.9729103446006776,0.9554937481880188,0.0270896553993225,0.0445062518119812,0.7975547909736633,0.7299025058746338,0.2024452090263366,0.2700974941253662
models/SoM_Mix_2,mix: 1-2,0.951881468296051,0.9520412087440492,0.0481185317039489,0.0479587912559509,0.0,0.0,1.0,1.0
models/SoM_Mix_1,mix: 1-2,0.951881468296051,0.9520412087440492,0.0481185317039489,0.0479587912559509,0.0,0.0,1.0,1.0
models/SoM_Mix_1,mix: 1-2,0.951881468296051,0.9520412087440492,0.0481185317039489,0.0479587912559509,0.6839816570281982,0.6234731674194336,0.3160183429718017,0.3765268325805664
models/SoM_Mix_2,mix: 1-2,0.951881468296051,0.9520412087440492,0.0481185317039489,0.0479587912559509,0.6839816570281982,0.6234731674194336,0.3160183429718017,0.3765268325805664
models/SoM_Mix_3,mix: 1-2,0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.6446102857589722,0.5960603952407837,0.3553897142410278,0.4039396047592163
models/SoM_Mix_4,mix: 1-2,0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.8660953044891357,0.7879577875137329,0.1339046955108642,0.2120422124862671
models/SoM_Mix_5,mix: 1-2,0.943051278591156,0.7936617136001587,0.0569487214088439,0.2063382863998413,0.5904902219772339,0.44240403175354,0.4095097780227661,0.55759596824646
models/SoM_Mix_6,mix: 1-2,0.943051278591156,0.7936617136001587,0.0569487214088439,0.2063382863998413,0.8989724516868591,0.8624197244644165,0.1010275483131408,0.1375802755355835
models/SoM_Mix_7,mix: 1-2,0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.8660953044891357,0.7879577875137329,0.1339046955108642,0.2120422124862671
models/SoM_Mix_8,mix: 1-2,0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.6446102857589722,0.5960603952407837,0.3553897142410278,0.4039396047592163
models/SoM_Mix_8,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0-1, EvalTars=0-1, TestTars=0-1",0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.6446102857589722,0.5960603952407837,0.3553897142410278,0.4039396047592163
models/SoM_Mix_9,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0, EvalTars=0-1, TestTars=0-1",0.9879631400108336,0.9777297973632812,0.0120368599891662,0.0222702026367187,0.8989724516868591,0.8624197244644165,0.1010275483131408,0.1375802755355835
models/SoM_Mix_10,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0-1, EvalTars=0, TestTars=0",0.9936074018478394,0.9496172666549684,0.0063925981521606,0.0503827333450317,0.8660953044891357,0.7879577875137329,0.1339046955108642,0.2120422124862671
models/SoM_Mix_11,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0, EvalTars=0, TestTars=0",0.943051278591156,0.7936617136001587,0.0569487214088439,0.2063382863998413,0.5904902219772339,0.44240403175354,0.4095097780227661,0.55759596824646
models/SoM_Mix_11,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0, EvalTars=0, TestTars=0",0.943051278591156,0.7936617136001587,0.0569487214088439,0.2063382863998413,0.5904902219772339,0.44240403175354,0.4095097780227661,0.55759596824646
models/SoM_Mix_11,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0, EvalTars=0, TestTars=0",0.943051278591156,0.7936617136001587,0.0569487214088439,0.2063382863998413,0.5904902219772339,0.44240403175354,0.4095097780227661,0.55759596824646
models/SoM_Mix_11,"Mix: MFCC-GRU4/VisualFeats-GRU5, TrainTars=0, EvalTars=0, TestTars=0",0.9383315443992616,0.957341492176056,0.0616684556007385,0.042658507823944,0.6446102857589722,0.5960603952407837,0.3553897142410278,0.4039396047592163
